title,page,organization_name,last_modified,created_at,metrics_views,metrics_resources_downloads,metrics_discussions
"Base Sirene des entreprises et de leurs établissements (SIREN, SIRET)",https://www.data.gouv.fr/datasets/base-sirene-des-entreprises-et-de-leurs-etablissements-siren-siret/,Institut national de la statistique et des études économiques (Insee),2025-09-18,2018-08-24,1366595,12069794,673
"Bases statistiques communale, départementale et régionale de la délinquance enregistrée par la police et la gendarmerie nationales ",https://www.data.gouv.fr/datasets/bases-statistiques-communale-departementale-et-regionale-de-la-delinquance-enregistree-par-la-police-et-la-gendarmerie-nationales/,Ministère de l'intérieur,2025-07-11,2022-03-01,218609,119050,17
Géolocalisation des établissements du répertoire SIRENE-pour les études statistiques,https://www.data.gouv.fr/datasets/geolocalisation-des-etablissements-du-repertoire-sirene-pour-les-etudes-statistiques/,Institut national de la statistique et des études économiques (Insee),2025-09-21,2022-01-05,65342,62705,23
"Open Food Facts - Produits alimentaires : ingrédients, nutrition, labels",https://www.data.gouv.fr/datasets/open-food-facts-produits-alimentaires-ingredients-nutrition-labels/,Open Food Facts,2025-06-29,2013-11-21,65245,37787,12
Bureaux de vote et adresses de leurs électeurs,https://www.data.gouv.fr/datasets/bureaux-de-vote-et-adresses-de-leurs-electeurs/,Institut national de la statistique et des études économiques (Insee),2024-04-02,2023-06-26,63935,21164,8
Émissions de gaz à effet de serre des installations soumises à quota de l'UE,https://www.data.gouv.fr/datasets/emissions-de-gaz-a-effet-de-serre-des-installations-soumises-a-quota-de-lue/,,2025-07-07,2021-05-28,35272,7845,0
Agrégation des fichiers des personnes décédées,https://www.data.gouv.fr/datasets/agregation-des-fichiers-des-personnes-decedees/,data.gouv.fr,2025-09-09,2024-09-05,34769,171496,4
Données des élections agrégées,https://www.data.gouv.fr/datasets/donnees-des-elections-agregees/,data.gouv.fr,2025-07-23,2023-06-08,32750,77075,7
Registre National des Cantines,https://www.data.gouv.fr/datasets/registre-national-des-cantines/,Ministère de l'Agriculture et de l'Alimentation,2025-09-04,2023-06-09,27470,26820,8
Service statistique ministériel de la sécurité intérieure – Base des séries chronologiques,https://www.data.gouv.fr/datasets/service-statistique-ministeriel-de-la-securite-interieure-base-des-series-chronologiques/,Ministère de l'intérieur,2025-09-04,2022-06-20,25000,3294,0
Base sur la qualité et la sécurité des soins (anciennement Scope Santé),https://www.data.gouv.fr/datasets/base-sur-la-qualite-et-la-securite-des-soins-anciennement-scope-sante/,Haute Autorité de santé (HAS),2025-09-09,2021-09-22,24076,26331,4
Indicateurs annuels de la victimation et du sentiment d’insécurité issus des enquêtes Cadre de Vie et Sécurité,https://www.data.gouv.fr/datasets/indicateurs-annuels-de-la-victimation-et-du-sentiment-dinsecurite-issus-des-enquetes-cadre-de-vie-et-securite/,Ministère de l'intérieur,2025-06-26,2022-02-08,20645,4091,0
Données financières détaillées des entreprises (format parquet),https://www.data.gouv.fr/datasets/donnees-financieres-detaillees-des-entreprises-format-parquet/,Signaux Faibles,2025-09-16,2023-12-24,10051,741,2
Données essentielles de la commande publique consolidées (format tabulaire),https://www.data.gouv.fr/datasets/donnees-essentielles-de-la-commande-publique-consolidees-format-tabulaire/,,2025-09-20,2021-04-30,9424,3554,2
Recensement de la population - Fichiers détail : Individus localisés au canton-ou-ville ,https://www.data.gouv.fr/datasets/recensement-de-la-population-fichiers-detail-individus-localises-au-canton-ou-ville/,Institut national de la statistique et des études économiques (Insee),2025-02-12,2023-10-23,9386,4481,0
RNA agrégé à l'échelle nationale,https://www.data.gouv.fr/datasets/rna-agrege-a-lechelle-nationale/,data.gouv.fr,2025-09-01,2024-10-21,8580,35942,0
Recensement de la population - Fichiers détail : Logements ordinaires,https://www.data.gouv.fr/datasets/recensement-de-la-population-fichiers-detail-logements-ordinaires/,Institut national de la statistique et des études économiques (Insee),2025-02-12,2023-10-23,8389,3921,0
"Base Étendue, Améliorée et Unifiée des Annonces des Marchés Publics",https://www.data.gouv.fr/datasets/base-etendue-amelioree-et-unifiee-des-annonces-des-marches-publics/,,2025-09-22,2024-05-05,6836,4377,1
Open Prices,https://www.data.gouv.fr/datasets/open-prices/,Open Food Facts,2024-11-27,2024-11-27,6708,2507,0
base prénoms insee format parquet,https://www.data.gouv.fr/datasets/base-prenoms-insee-format-parquet/,icem7,2023-11-21,2023-11-21,6543,785,0
Occupation du sol à Grande échelle - OCSGE-format geoparquet,https://www.data.gouv.fr/datasets/occupation-du-sol-a-grande-echelle-ocsge-format-geoparquet/,,2025-01-22,2024-10-15,6146,3421,0
Base SIRENE des établissements 2024 géolocalisée - geoparquet,https://www.data.gouv.fr/datasets/base-sirene-des-etablissements-2024-geolocalisee-geoparquet/,icem7,2024-01-24,2024-01-05,6128,607,0
Données sur la localisation et l’accès de la population aux équipements,https://www.data.gouv.fr/datasets/donnees-sur-la-localisation-et-lacces-de-la-population-aux-equipements/,Institut national de la statistique et des études économiques (Insee),2025-07-16,2025-04-15,5880,2524,7
Paris 2024 - Sites de compétition,https://www.data.gouv.fr/datasets/paris-2024-sites-de-competition/,Paris 2024,2024-09-10,2024-09-10,5874,11995,0
Découpage géographique des quartiers - Ville de Lorient,https://www.data.gouv.fr/datasets/decoupage-geographique-des-quartiers-ville-de-lorient/,Ville de Lorient,2020-11-06,2020-11-06,5870,7126,0
Base prénoms 2024 Insee,https://www.data.gouv.fr/datasets/base-prenoms-2024-insee/,icem7,2025-07-23,2025-07-23,5443,10,0
Population des communes du Finistère,https://www.data.gouv.fr/datasets/population-des-communes-du-finistere/,Conseil départemental du Finistère,2025-01-03,2022-06-22,5255,1838,0
Liste des délibérations adoptées par le conseil municipal - Ville de Lorient,https://www.data.gouv.fr/datasets/liste-des-deliberations-adoptees-par-le-conseil-municipal-ville-de-lorient/,Ville de Lorient,2025-07-09,2025-07-09,5156,6208,0
Adresses de rattachement des quartiers – Ville de Lorient,https://www.data.gouv.fr/datasets/adresses-de-rattachement-des-quartiers-ville-de-lorient/,Ville de Lorient,2025-09-01,2025-09-01,4855,6098,1
Liste des adresses  (Base Adresse Locale) - Ville de Lorient,https://www.data.gouv.fr/datasets/liste-des-adresses-base-adresse-locale-ville-de-lorient/,Ville de Lorient,2025-09-01,2025-09-01,4838,6321,2
Composition de l'assemblée délibérante de Morbihan énergies,https://www.data.gouv.fr/datasets/composition-de-lassemblee-deliberante-de-morbihan-energies-1/,Morbihan énergies,2019-04-10,2019-04-10,4769,3899,0
BAN format parquet,https://www.data.gouv.fr/datasets/ban-format-parquet/,icem7,2025-05-23,2023-11-08,4739,508,1
Etablissements d'accueil des jeunes enfants en Mayenne,https://www.data.gouv.fr/datasets/etablissements-daccueil-des-jeunes-enfants-en-mayenne/,Le Conseil Départemental de la Mayenne,2025-09-19,2025-09-19,4698,7687,0
Paris 2024 - Événements Olympiade Culturelle,https://www.data.gouv.fr/datasets/paris-2024-evenements-olympiade-culturelle/,Paris 2024,2024-09-15,2024-09-15,4636,8472,0
Base SIRENE V3 consolidée,https://www.data.gouv.fr/datasets/base-sirene-v3-consolidee/,Fleury-sur-Orne,2022-12-02,2022-12-02,4581,7921,0
Unité Foncière des  personnes morales ( locaux et parcelles),https://www.data.gouv.fr/datasets/unite-fonciere-des-personnes-morales-locaux-et-parcelles/,,2024-02-22,2024-02-21,4486,1922,0
PARQUET - Données climatologiques de base - mensuelles - quotidiennes - horaires - 6 minutes (format parquet),https://www.data.gouv.fr/datasets/parquet-donnees-climatologiques-de-base-mensuelles-quotidiennes-horaires-6-minutes-format-parquet/,,2025-01-16,2024-04-09,4377,6654,2
Principaux axes routiers du département,https://www.data.gouv.fr/datasets/principaux-axes-routiers-du-departement/,Morbihan énergies,2018-10-19,2018-10-19,4360,5736,0
Adresses de rattachement des bureaux de vote – Ville de Lorient,https://www.data.gouv.fr/datasets/adresses-de-rattachement-des-bureaux-de-vote-ville-de-lorient/,Ville de Lorient,2025-09-01,2025-09-01,4359,5592,0
Carte scolaire des établissements primaires - Ville de Lorient,https://www.data.gouv.fr/datasets/carte-scolaire-des-etablissements-primaires-ville-de-lorient/,Ville de Lorient,2021-07-26,2021-07-26,4356,4426,0
Liste des élus au Conseil Municipal - Ville de Lorient,https://www.data.gouv.fr/datasets/liste-des-elus-au-conseil-municipal-ville-de-lorient/,Ville de Lorient,2025-08-31,2025-08-31,4271,5092,0
Découpage géographique des anciens secteurs (réunion publique de quartier) - Ville de Lorient,https://www.data.gouv.fr/datasets/decoupage-geographique-des-anciens-secteurs-reunion-publique-de-quartier-ville-de-lorient/,Ville de Lorient,2019-01-28,2019-01-28,4266,3850,0
Découpage géographique des bureaux de vote - Ville de Lorient,https://www.data.gouv.fr/datasets/decoupage-geographique-des-bureaux-de-vote-ville-de-lorient/,Ville de Lorient,2022-05-16,2022-05-16,4191,5029,0
Budget du département du Finistère,https://www.data.gouv.fr/datasets/budget-du-departement-du-finistere/,Conseil départemental du Finistère,2024-10-01,2021-04-27,4114,1598,0
Liste des entreprises (Base SIRENE v3) - Commune de Lorient,https://www.data.gouv.fr/datasets/liste-des-entreprises-base-sirene-v3-commune-de-lorient/,Ville de Lorient,2019-08-29,2019-08-29,4110,5921,0
Adresses de rattachement des établissements scolaires – Ville de Lorient,https://www.data.gouv.fr/datasets/adresses-de-rattachement-des-etablissements-scolaires-ville-de-lorient/,Ville de Lorient,2025-09-01,2025-09-01,4110,6266,0
Paris 2024 - PSA spectateurs,https://www.data.gouv.fr/datasets/paris-2024-psa-spectateurs/,Paris 2024,2024-10-04,2024-10-04,4094,7741,0
Adresses de rattachement des îlots IRIS – Ville de Lorient,https://www.data.gouv.fr/datasets/adresses-de-rattachement-des-ilots-iris-ville-de-lorient/,Ville de Lorient,2025-09-01,2025-09-01,4073,6924,0
Tarification de l'eau potable dans le Finistère,https://www.data.gouv.fr/datasets/tarification-de-leau-potable-dans-le-finistere/,Conseil départemental du Finistère,2025-01-03,2018-11-27,3933,1833,0
Stations d'épuration collectives et industrielles du Finistère,https://www.data.gouv.fr/datasets/stations-depuration-collectives-et-industrielles-du-finistere/,Conseil départemental du Finistère,2021-07-08,2018-11-27,3922,4760,0
Prénoms des nouveau-nés - Ville de Lorient,https://www.data.gouv.fr/datasets/prenoms-des-nouveau-nes-ville-de-lorient/,Ville de Lorient,2020-08-28,2020-08-28,3914,4283,0
Assistants maternels de la Mayenne,https://www.data.gouv.fr/datasets/assistants-maternels-de-la-mayenne/,Le Conseil Départemental de la Mayenne,2025-09-19,2025-09-19,3900,7314,0
Actes d'état-civil - Ville de Lorient,https://www.data.gouv.fr/datasets/actes-detat-civil-ville-de-lorient/,Ville de Lorient,2019-03-29,2019-03-29,3900,3591,0
Recensement de population - Ville de Lorient,https://www.data.gouv.fr/datasets/recensement-de-population-ville-de-lorient/,Ville de Lorient,2021-06-22,2021-06-22,3878,3996,0
Résultats électoraux - Ville de Lorient,https://www.data.gouv.fr/datasets/resultats-electoraux-ville-de-lorient/,Ville de Lorient,2022-06-27,2022-06-27,3773,3592,0
Annuaire local des associations - Ville de Lorient,https://www.data.gouv.fr/datasets/annuaire-local-des-associations-ville-de-lorient/,Ville de Lorient,2025-08-31,2025-08-31,3766,5852,0
Liste des bâtiments du département du Finistère - 2023,https://www.data.gouv.fr/datasets/liste-des-batiments-du-departement-du-finistere-2023-1/,Conseil départemental du Finistère,2024-12-31,2018-11-27,3696,2457,0
Effectifs des agents du département du Finistère répartis par catégorie,https://www.data.gouv.fr/datasets/effectifs-des-agents-du-departement-du-finistere-repartis-par-categorie/,Conseil départemental du Finistère,2024-10-03,2018-11-27,3686,1607,0
Nombre de bénéficiaires du Fonds Unique d'Aide (FUA) par commune depuis 2018,https://www.data.gouv.fr/datasets/nombre-de-beneficiaires-du-fonds-unique-daide-fua-par-commune-depuis-2018/,Conseil départemental du Finistère,2025-01-03,2020-09-26,3589,1699,0
Localisation des défibrillateurs municipaux (DAE) - Ville de Lorient,https://www.data.gouv.fr/datasets/localisation-des-defibrillateurs-municipaux-dae-ville-de-lorient/,Ville de Lorient,2025-08-31,2025-08-31,3577,14267,0
Maison d'assistants maternels en Mayenne,https://www.data.gouv.fr/datasets/maison-dassistants-maternels/,Le Conseil Départemental de la Mayenne,2023-01-13,2023-01-13,3570,5871,0
Localisation des centres de vote - Ville de Lorient,https://www.data.gouv.fr/datasets/localisation-des-centres-de-vote-ville-de-lorient/,Ville de Lorient,2025-09-01,2025-09-01,3534,5594,0
Paris 2024 - Centres de préparation aux Jeux,https://www.data.gouv.fr/datasets/paris-2024-centres-de-preparation-aux-jeux/,Paris 2024,2024-02-05,2024-02-05,3503,5594,0
Carte scolaire des établissements maternels - Ville de Lorient,https://www.data.gouv.fr/datasets/carte-scolaire-des-etablissements-maternels-ville-de-lorient/,Ville de Lorient,2019-01-28,2019-01-28,3487,4943,0
Nids de goélands recensés – Ville de Lorient,https://www.data.gouv.fr/datasets/nids-de-goelands-recenses-ville-de-lorient/,Ville de Lorient,2025-09-05,2025-09-05,3459,5347,0
Adhérents de Morbihan énergies,https://www.data.gouv.fr/datasets/adherents-de-morbihan-energies-1/,Morbihan énergies,2018-10-19,2018-10-19,3456,2802,0
Populations légales communales 2017-2021,https://www.data.gouv.fr/datasets/populations-legales-communales-2017-2021/,icem7,2024-01-23,2023-12-28,3456,737,0
Nombre de bénéficiaires du dispositif Avenir Jeunes 29 (AJ29) par commune depuis 2018,https://www.data.gouv.fr/datasets/nombre-de-beneficiaires-du-dispositif-avenir-jeunes-29-aj29-par-commune-depuis-2018/,Conseil départemental du Finistère,2025-01-03,2020-09-26,3434,2500,0
Stationnements particuliers - Ville de Lorient,https://www.data.gouv.fr/datasets/stationnements-particuliers-ville-de-lorient/,Ville de Lorient,2025-08-31,2025-08-31,3261,5054,0
Capacité d’accueil Petite Enfance par EPCI (hors ASE) dans le Finistère,https://www.data.gouv.fr/datasets/capacite-daccueil-petite-enfance-par-epci-hors-ase-dans-le-finistere/,Conseil départemental du Finistère,2024-10-01,2020-12-09,3241,1160,0
Liste des maires de Lorient et de Keryado - Ville de Lorient,https://www.data.gouv.fr/datasets/liste-des-maires-de-lorient-et-de-keryado-ville-de-lorient/,Ville de Lorient,2020-12-23,2020-12-23,3236,4086,0
Conseillers départementaux du Finistère,https://www.data.gouv.fr/datasets/conseillers-departementaux-du-finistere/,Conseil départemental du Finistère,2024-05-27,2018-11-27,3224,3167,0
Certificats d'économie d'énergie (C2E) - Morbihan énergies,https://www.data.gouv.fr/datasets/certificats-deconomie-denergie-c2e-morbihan-energies-2/,Morbihan énergies,2018-10-19,2018-10-19,3197,4439,0
Archives départementales de la Mayenne - Registre des entrées depuis 2022,https://www.data.gouv.fr/datasets/archives-departementales-de-la-mayenne-registre-des-entrees-depuis-2022/,Le Conseil Départemental de la Mayenne,2025-03-24,2023-09-15,3192,4035,0
Établissements d'accueil de jeunes enfants (EAJE) du Finistère,https://www.data.gouv.fr/datasets/etablissements-daccueil-de-jeunes-enfants-eaje-du-finistere/,Conseil départemental du Finistère,2024-12-20,2023-06-30,3180,942,0
Lorientais morts pour la France - Ville de Lorient,https://www.data.gouv.fr/datasets/lorientais-morts-pour-la-france-ville-de-lorient/,Ville de Lorient,2020-12-15,2020-12-15,3167,4418,1
Liste des voies et lieux - Ville de Lorient,https://www.data.gouv.fr/datasets/liste-des-voies-ville-de-lorient/,Ville de Lorient,2025-08-31,2025-08-31,3136,6032,0
Nombre d'enfants ayant fait l'objet d'un signalement dans le département du Finistère,https://www.data.gouv.fr/datasets/nombre-denfants-ayant-fait-lobjet-dun-signalement-dans-le-departement-du-finistere/,Conseil départemental du Finistère,2025-01-03,2018-11-27,3133,1634,0
Paris 2024 - Zones de dépose reprise PFR-PSH,https://www.data.gouv.fr/datasets/paris-2024-zones-de-depose-reprise-pfr-psh/,Paris 2024,2024-10-01,2024-10-01,3122,7346,0
Nombre d'électeurs par bureau de vote,https://www.data.gouv.fr/datasets/nombre-delecteurs-par-bureau-de-vote/,Ville de Quiberon,2019-10-14,2019-10-14,3108,8278,0
Equipements collectifs publics du Conseil départemental de la Mayenne,https://www.data.gouv.fr/datasets/equipements-collectifs-publics-du-conseil-departemental-de-la-mayenne/,Le Conseil Départemental de la Mayenne,2025-09-01,2025-09-01,3078,7303,0
Zones PLU France,https://www.data.gouv.fr/datasets/zones-plu-france/,,2024-10-22,2024-10-22,3061,2221,0
Routes barrées en Mayenne,https://www.data.gouv.fr/datasets/routes-barrees-en-mayenne/,Le Conseil Départemental de la Mayenne,2025-09-01,2025-09-01,3024,6738,0
"Nombre d’enfants ayant fait l’objet d’une Aide Éducative à Domicile, dans le Finistère",https://www.data.gouv.fr/datasets/nombre-denfants-ayant-fait-lobjet-dune-aide-educative-a-domicile-dans-le-finistere/,Conseil départemental du Finistère,2025-01-03,2020-12-09,3008,741,0
Synthèse des Recettes et des Dépenses du Budget Primitif en 2019,https://www.data.gouv.fr/datasets/synthese-des-recettes-et-des-depenses-du-budget-primitif-en-2019/,Conseil départemental du Finistère,2025-01-03,2019-07-05,3000,1078,0
Nombre de bénéficiaires du Fonds de Solidarité Logement (FSL) par commune depuis 2018,https://www.data.gouv.fr/datasets/nombre-de-beneficiaires-du-fonds-de-solidarite-logement-fsl-par-commune-depuis-2018/,Conseil départemental du Finistère,2025-01-03,2020-09-26,2991,1165,0
Subventions de la Ville de Bourges de 2021 à 2024,https://www.data.gouv.fr/datasets/subventions-de-la-ville-de-bourges-de-2021-a-2024/,Communauté d'Agglomération de Bourges,2025-04-04,2022-02-07,2989,4782,0
"Bénéficiaires du revenu de solidarité active (RSA) par EPCI du département du Finistère, titulaires d'un droit",https://www.data.gouv.fr/datasets/beneficiaires-du-revenu-de-solidarite-active-rsa-par-epci-du-departement-du-finistere-titulaires-dun-droit/,Conseil départemental du Finistère,2024-09-30,2018-11-27,2978,1243,0
Évolution du nombre d’assistant·e·s maternel·le·s par EPCI dans le Finistère,https://www.data.gouv.fr/datasets/evolution-du-nombre-dassistant-e-s-maternel-le-s-par-epci-dans-le-finistere/,Conseil départemental du Finistère,2024-12-20,2020-12-09,2969,1473,0
Paris 2024 - FAQ,https://www.data.gouv.fr/datasets/paris-2024-faq/,Paris 2024,2023-12-08,2023-12-08,2969,3803,0
DVF 2022 format parquet,https://www.data.gouv.fr/datasets/dvf-2022-format-parquet/,icem7,2023-11-08,2023-11-08,2967,951,0
Hackaviz Numérique Responsable - Enquête Usages & Réemploi,https://www.data.gouv.fr/datasets/hackaviz-numerique-responsable-enquete-usages-reemploi/,Conseil départemental du Finistère,2024-12-31,2023-06-13,2955,748,0
Fréquentation annuelle du Musée départemental breton,https://www.data.gouv.fr/datasets/frequentation-annuelle-du-musee-departemental-breton/,Conseil départemental du Finistère,2024-12-19,2018-11-27,2953,850,0
Nombre de bénéficiaires des prestations Personnes Âgées versées par le Conseil Départemental du Finistère,https://www.data.gouv.fr/datasets/nombre-de-beneficiaires-des-prestations-personnes-agees-versees-par-le-conseil-departemental-du-finistere/,Conseil départemental du Finistère,2025-01-03,2020-12-09,2947,1317,0
"Revenus, pauvreté et niveau de vie en 2019 - Données carroyées  - Dispositif Fichier localisé social et fiscal (Filosofi)",https://www.data.gouv.fr/datasets/revenus-pauvrete-et-niveau-de-vie-en-2019-donnees-carroyees-dispositif-fichier-localise-social-et-fiscal-filosofi/,,2024-10-03,2024-10-02,2946,265,0
Nombre de foyers ayant bénéficié d’une allocation mensuelle enfance dans le Finistère,https://www.data.gouv.fr/datasets/nombre-de-foyers-ayant-beneficie-dune-allocation-mensuelle-enfance-dans-le-finistere/,Conseil départemental du Finistère,2025-01-03,2020-12-09,2927,780,0
Liste des ouvrages d'art du département du Finistère,https://www.data.gouv.fr/datasets/liste-des-ouvrages-dart-du-departement-du-finistere/,Conseil départemental du Finistère,2025-01-02,2018-11-27,2926,1188,0
Signalements de nids de frelons – Ville de Lorient,https://www.data.gouv.fr/datasets/signalements-de-nids-de-frelons-ville-de-lorient/,Ville de Lorient,2025-09-01,2025-09-01,2915,5430,0
Catalogue Open data 53,https://www.data.gouv.fr/datasets/catalogue-open-data-53/,Le Conseil Départemental de la Mayenne,2023-01-18,2023-07-17,2901,6166,0
"Communes, cantons et Epci 2025 - Admin Express COG PLUS IGN",https://www.data.gouv.fr/datasets/communes-cantons-et-epci-2025-admin-express-cog-plus-ign/,icem7,2025-06-26,2025-06-24,2859,6443,0
Bénéficiaires du Fonds social européen du Finistère,https://www.data.gouv.fr/datasets/beneficiaires-du-fonds-social-europeen-du-finistere/,Conseil départemental du Finistère,2024-09-30,2020-12-09,2849,1599,0
Liste des actions métiers du NUMERIQUE sur le territoire du Morbihan,https://www.data.gouv.fr/datasets/liste-des-actions-metiers-du-numerique-sur-le-territoire-du-morbihan/,Morbihan énergies,2023-03-29,2023-03-29,2845,4986,0
Subventions - Ville de Lorient,https://www.data.gouv.fr/datasets/subventions-ville-de-lorient/,Ville de Lorient,2025-07-31,2025-07-31,2844,4600,0
Maisons d'assistants maternels (MAM) du Finistère,https://www.data.gouv.fr/datasets/maisons-dassistants-maternels-mam-du-finistere/,Conseil départemental du Finistère,2025-01-02,2023-06-30,2835,1228,0
Contours IRIS - 2015 - Morbihan,https://www.data.gouv.fr/datasets/contours-iris-2015-morbihan/,Morbihan énergies,2018-10-19,2018-10-19,2832,5204,0
Terrasses autorisées sur l'espace public - Ville de Lorient,https://www.data.gouv.fr/datasets/terrasses-autorisees-sur-lespace-public-ville-de-lorient/,Ville de Lorient,2020-07-09,2020-07-09,2832,9678,0
Voitures par énergie et par commune,https://www.data.gouv.fr/datasets/voitures-par-energie-et-par-commune/,icem7,2024-02-13,2024-02-13,2818,469,0
Compar:IA,https://www.data.gouv.fr/datasets/compar-ia/,Ministère de la Culture,2025-08-18,2025-03-27,2812,1400,0
Taux d’évaluation des situations familiales réalisées par le Conseil départemental du Finistère suite à une information préoccupante,https://www.data.gouv.fr/datasets/taux-devaluation-des-situations-familiales-realisees-par-le-conseil-departemental-du-finistere-suite-a-une-information-preoccupante/,Conseil départemental du Finistère,2025-01-03,2020-12-09,2801,1199,0
Bénéficiaires de l’aide à la formation au BAFA octroyée par le Conseil départemental du Finistère,https://www.data.gouv.fr/datasets/beneficiaires-de-laide-a-la-formation-au-bafa-octroyee-par-le-conseil-departemental-du-finistere/,Conseil départemental du Finistère,2024-09-30,2020-04-29,2797,2281,0
Liste des actions métiers EQUIPEMENTS & RESEAUX sur le territoire du Morbihan,https://www.data.gouv.fr/datasets/liste-des-actions-metiers-equipements-reseaux-sur-le-territoire-du-morbihan/,Morbihan énergies,2023-03-29,2023-03-29,2795,4872,0
Paris 2024 - Boutiques officielles,https://www.data.gouv.fr/datasets/paris-2024-boutiques-officielles/,Paris 2024,2024-06-27,2024-06-27,2789,5945,0
